Team,player_id,name,status,position_type,eligible_positions,selected_position
Scottie Doesn't Know,5832,John Collins,GTD,P,"['PF', 'F', 'C', 'Util', 'IL+']",Util
Scottie Doesn't Know,6169,Coby White,,P,"['PG', 'SG', 'G', 'Util']",Util
Scottie Doesn't Know,5164,Kelly Olynyk,,P,"['PF', 'F', 'C', 'Util']",Util
Scottie Doesn't Know,10100,Keyonte George,,P,"['PG', 'SG', 'G', 'Util']",BN
Scottie Doesn't Know,6023,Miles Bridges,GTD,P,"['SF', 'PF', 'F', 'Util', 'IL+']",BN
Scottie Doesn't Know,6355,Anthony Edwards,,P,"['SG', 'G', 'SF', 'F', 'Util']",BN
Scottie Doesn't Know,6515,Scottie Barnes,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",IL
Scottie Doesn't Know,10096,Ausar Thompson,GTD,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util', 'IL+']",IL+
yoav's Champion Team,4563,James Harden,,P,"['PG', 'SG', 'G', 'Util']",PG
yoav's Champion Team,5651,Caris LeVert,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",SG
yoav's Champion Team,5506,Norman Powell,,P,"['SG', 'G', 'SF', 'F', 'Util']",G
yoav's Champion Team,5765,Jayson Tatum,,P,"['SF', 'PF', 'F', 'Util']",SF
yoav's Champion Team,5482,Bobby Portis,,P,"['PF', 'F', 'C', 'Util']",PF
yoav's Champion Team,5341,Kyle Anderson,,P,"['SF', 'PF', 'F', 'Util']",F
yoav's Champion Team,6434,Nick Richards,GTD,P,"['C', 'Util', 'IL+']",C
yoav's Champion Team,5824,Malik Monk,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",Util
yoav's Champion Team,5582,T.J. McConnell,,P,"['PG', 'G', 'Util']",Util
yoav's Champion Team,5197,Rudy Gobert,,P,"['C', 'Util']",Util
yoav's Champion Team,4913,Bojan Bogdanović,NA,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",BN
yoav's Champion Team,5350,Jerami Grant,GTD,P,"['SF', 'PF', 'F', 'Util', 'IL+']",BN
yoav's Champion Team,6226,Daniel Gafford,,P,"['PF', 'F', 'C', 'Util']",BN
yoav's Champion Team,5667,Malcolm Brogdon,,P,"['PG', 'SG', 'G', 'Util']",IL
yoav's Champion Team,4612,Stephen Curry,,P,"['PG', 'SG', 'G', 'Util']",IL+
king douchebag,6275,Caleb Martin,,P,"['SG', 'G', 'SF', 'F', 'Util']",SG
king douchebag,10115,Brandin Podziemski,,P,"['SG', 'G', 'Util']",G
king douchebag,3704,LeBron James,,P,"['SF', 'PF', 'F', 'Util']",SF
king douchebag,5185,Giannis Antetokounmpo,,P,"['PF', 'F', 'C', 'Util']",PF
king douchebag,5073,Khris Middleton,O,P,"['SF', 'PF', 'F', 'Util', 'IL+']",F
king douchebag,6253,Naz Reid,,P,"['PF', 'F', 'C', 'Util']",C
king douchebag,5012,Damian Lillard,,P,"['PG', 'G', 'Util']",Util
king douchebag,5487,Larry Nance Jr.,,P,"['PF', 'F', 'C', 'Util']",Util
king douchebag,6254,Luguentz Dort,,P,"['SG', 'G', 'SF', 'F', 'Util']",Util
king douchebag,6513,Jalen Green,,P,"['PG', 'SG', 'G', 'Util']",BN
king douchebag,6219,Nic Claxton,,P,"['C', 'Util']",BN
king douchebag,5767,De'Aaron Fox,,P,"['PG', 'G', 'Util']",BN
king douchebag,6217,Keldon Johnson,GTD,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util', 'IL+']",BN
king douchebag,5357,Jordan Clarkson,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",IL
king douchebag,6174,P.J. Washington,,P,"['PF', 'F', 'C', 'Util']",IL+
The Wall,6417,Immanuel Quickley,,P,"['PG', 'SG', 'G', 'Util']",PG
The Wall,6403,Devin Vassell,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",SG
The Wall,6404,Tyrese Haliburton,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",G
The Wall,6606,Austin Reaves,,P,"['PG', 'SG', 'G', 'SF', 'F', 'Util']",SF
The Wall,10094,Victor Wembanyama,,P,"['PF', 'F', 'C', 'Util']",PF
The Wall,5905,Royce O'Neale,,P,"['SG', 'G', 'SF', 'F', 'Util']",F
The Wall,6356,James Wiseman,NA,P,"['C', 'Util']",C
The Wall,4246,Mike Conley,,P,"['PG', 'G', 'Util']",Util
The Wall,6232,Bol Bol,,P,"['PF', 'F', 'C', 'Util']",Util
The Wall,4472,Brook Lopez,,P,"['C', 'Util']",Util
The Wall,6025,Michael Porter Jr.,,P,"['SF', 'PF', 'F', 'Util']",BN
The Wall,6571,Day'Ron Sharpe,GTD,P,"['C', 'Util', 'IL+']",BN
The Wall,6224,Cody Martin,GTD,P,"['SG', 'G', 'SF', 'F', 'Util', 'IL+']",BN
The Wall,6395,LaMelo Ball,GTD,P,"['PG', 'SG', 'G', 'Util', 'IL+']",IL
The Wall,6558,Alperen Şengün,GTD,P,"['C', 'Util', 'IL+']",IL+
Grimes for MVP,6413,Tyrese Maxey,,P,"['PG', 'SG', 'G', 'Util']",PG
Grimes for MVP,4892,Klay Thompson,,P,"['SG', 'G', 'SF', 'F', 'Util']",SG
Grimes for MVP,6044,Jalen Brunson,,P,"['PG', 'G', 'Util']",G
Grimes for MVP,6550,Franz Wagner,,P,"['SG', 'G', 'SF', 'PF', 'F', 'Util']",SF
Grimes for MVP,6559,Trey Murphy III,,P,"['SF', 'PF', 'F', 'Util']",PF
Grimes for MVP,6562,Jalen Johnson,GTD,P,"['SF', 'PF', 'F', 'Util', 'IL+']",F
Grimes for MVP,5827,Bam Adebayo,,P,"['C', 'Util']",C
Grimes for MVP,4901,Tobias Harris,,P,"['SF', 'PF', 'F', 'Util']",Util
Grimes for MVP,5640,Jakob Poeltl,GTD,P,"['C', 'Util', 'IL+']",Util
